area,chipid,lulc_category_from,lulc_category_to,changed_area,changed_area_normalized
Israel,1_3_19,Shrub & Scrub,Bare ground,32.885462107797565,0.549727603099384
Israel,1_3_19,Crops,Bare ground,21.821470744464424,0.36477713979313015
Israel,1_3_19,Bare ground,Crops,3.3083829953686195,0.05530436057784671
Israel,1_3_19,Built Area,Bare ground,1.3711310239582517,0.022920419024826482
Israel,1_3_19,Crops,Shrub & Scrub,0.19766568572282164,0.0033042650661624013
Israel,1_3_19,Shrub & Scrub,Crops,0.08430033588429912,0.0014092008631121048
Israel,1_3_19,Trees,Shrub & Scrub,0.04206746049128495,0.0007032178580476362
Israel,1_3_19,Trees,Bare ground,0.028047992389436567,0.000468862367737224
Israel,1_3_19,Bare ground,Built Area,0.027650284752825733,0.00046221411492898524
Israel,1_3_19,Crops,Trees,0.016491684928627567,0.0002756821356855745
Israel,1_3_19,Shrub & Scrub,Built Area,0.014813705943627655,0.0002476323134738192
Israel,1_3_19,Bare ground,Shrub & Scrub,0.010459463634488882,0.00017484491641458125
Israel,1_3_19,Shrub & Scrub,Trees,0.006125378645962988,0.00010239447784201748
Israel,1_3_19,Built Area,Shrub & Scrub,0.00414765148117793,6.933393545651036e-05
Israel,1_3_19,Built Area,Crops,0.003160330793085189,5.282945595196471e-05
