lulc_category_from,lulc_category_to,changed_area,changed_area_normalized
Crops,Grass,1317.6829324164742,0.21169697903094542
Grass,Crops,1192.716377287729,0.19162003825116009
Trees,Crops,885.7626860030036,0.1423053149981192
Crops,Trees,497.60894198909693,0.0799451121103098
Trees,Grass,465.55976263850596,0.07479613864937355
Grass,Trees,384.4724209893289,0.061768767008989145
Crops,Built Area,309.3441441670226,0.04969876985579236
Trees,Built Area,241.06891739861507,0.03872977352598613
Trees,Shrub & Scrub,195.89267372223912,0.03147182544532306
Crops,Wind Turbine,154.65395786727723,0.024846474724872426
Built Area,Crops,119.14848717782031,0.019142218640864704
Shrub & Scrub,Trees,60.11420822997878,0.009657859236125749
Built Area,Trees,56.75923693818861,0.009118854541039475
Grass,Built Area,55.55868617653548,0.008925975842254798
Grass,Shrub & Scrub,38.73038986381866,0.006222366799443149
Shrub & Scrub,Crops,31.43590607435406,0.005050445889009908
Built Area,Grass,27.122444811426035,0.004357451621523824
Crops,Shrub & Scrub,24.737180652295148,0.0039742386313147355
Shrub & Scrub,Grass,22.955131372960217,0.003687937246028035
Grass,Flooded vegetation,17.681861177718535,0.0028407415038024285
Crops,Solar Panel,17.274186121271185,0.002775245035909425
Grass,Wind Turbine,15.249247475194052,0.0024499214064142736
Trees,Flooded vegetation,15.073709083787355,0.0024217196696758305
Crops,Bare ground,12.856365056700671,0.0020654844779930113
Trees,Wind Turbine,12.197302498535775,0.0019596004681727967
Bare ground,Crops,5.779860641050202,0.0009285838093738473
Flooded vegetation,Trees,5.703162824990863,0.0009162616523825163
Trees,Bare ground,5.501388449465815,0.0008838448814783247
Bare ground,Grass,3.9536322429592277,0.0006351846726123272
Shrub & Scrub,Built Area,3.906788032850546,0.0006276587515268103
Built Area,Bare ground,3.8545837418761013,0.0006192716878259281
Bare ground,Built Area,3.3776212263994165,0.0005426435998744168
Built Area,Shrub & Scrub,3.2801895264850014,0.0005269903679577632
Bare ground,Shrub & Scrub,3.1484444701832404,0.0005058244032668511
Flooded vegetation,Grass,2.777518699451041,0.00044623202092891774
Grass,Bare ground,2.6717557412061734,0.0004292403014469371
Shrub & Scrub,Flooded vegetation,1.8937404842999372,0.0003042455280647028
Grass,Solar Panel,1.8879783309280733,0.0003033197890788456
Crops,Flooded vegetation,1.72115517486478,0.00027651822908122015
Bare ground,Trees,1.7013735630067441,0.00027334014475783203
Shrub & Scrub,Bare ground,1.565964647501,0.00025158554989952785
