lulc_category_from,lulc_category_to,changed_area,changed_area_normalized
Grass,Crops,1370.5570011421887,0.19628504539689753
Shrub & Scrub,Trees,829.3996336417908,0.11878290695379805
Trees,Grass,623.3030580374964,0.08926667693569522
Crops,Grass,602.005043802259,0.08621647056883604
Trees,Shrub & Scrub,587.3047674973253,0.08411116272723865
Grass,Trees,552.2230194479822,0.07908691163609163
Snow & Ice,Trees,437.7856781549486,0.06269770731107356
Trees,Crops,429.77325035414896,0.061550203228201664
Snow & Ice,Crops,296.6980672230711,0.04249177053235922
Crops,Trees,186.34897841141907,0.026688067447518095
Snow & Ice,Grass,156.93200838267785,0.022475100535001038
Grass,Shrub & Scrub,127.91053137494247,0.018318774364545487
Shrub & Scrub,Grass,124.43265460654817,0.017820688404749447
Trees,Built Area,109.89047383088975,0.015738022297946734
Snow & Ice,Shrub & Scrub,53.95882735598928,0.007727741982498482
Shrub & Scrub,Crops,53.53880210024001,0.007667587843470422
Grass,Built Area,51.10597133461913,0.007319168699374333
Crops,Built Area,40.771722409077825,0.005839143776804716
Built Area,Trees,38.512939986688394,0.005515651058186713
Bare ground,Shrub & Scrub,26.14610167755394,0.003744527772616255
Snow & Ice,Built Area,24.258824520346746,0.003474240376929521
Flooded vegetation,Shrub & Scrub,23.098098237041576,0.0033080063487044586
Shrub & Scrub,Bare ground,22.353534817676103,0.0032013733050227835
Flooded vegetation,Grass,21.648925536537632,0.0031004623143671005
Flooded vegetation,Trees,15.683324870543641,0.0022460956615620404
Trees,Bare ground,13.584385749523266,0.0019454949858429965
Built Area,Crops,13.425951787553444,0.0019228047822310778
Shrub & Scrub,Flooded vegetation,13.423000630776121,0.001922382130753228
Crops,Shrub & Scrub,13.379934781646517,0.0019162144324054646
Trees,Flooded vegetation,11.01427464049781,0.0015774151647996427
Trees,Snow & Ice,9.503467195788904,0.0013610440779907602
Shrub & Scrub,Built Area,9.157162666889665,0.0013114478918274046
Built Area,Grass,8.431513132159012,0.0012075236101316102
Snow & Ice,Bare ground,8.32566275052273,0.0011923641917729127
Crops,Bare ground,8.027552661785533,0.0011496701978330115
Grass,Flooded vegetation,7.4469121324081895,0.0010665134574908515
Snow & Ice,Flooded vegetation,6.504564022892567,0.0009315545748600626
Bare ground,Trees,6.063437100308024,0.0008683783494618182
Bare ground,Crops,4.3771461057257905,0.0006268752932969808
Built Area,Bare ground,4.02834604762923,0.0005769217086004907
Built Area,Shrub & Scrub,3.932848751971298,0.0005632450129228379
Grass,Snow & Ice,3.9137593834057958,0.000560511118913063
Flooded vegetation,Crops,3.7179734838805176,0.000532471537819854
Shrub & Scrub,Snow & Ice,3.6994834308017275,0.0005298234750943075
Bare ground,Grass,3.698746290083797,0.0005297179050967355
Grass,Bare ground,3.3277443063702776,0.00047658465988704415
Trees,Wind Turbine,3.11326194285222,0.0004458674548201327
Grass,Solar Panel,2.8129469593227903,0.0004028576857070514
Bare ground,Built Area,2.8069347860262965,0.000401996649130351
Crops,Snow & Ice,2.6589760734888834,0.0003808066639031261
Trees,Solar Panel,2.13190226473381,0.0003053215097703268
Crops,Solar Panel,1.6465310787319838,0.00023580881879919764
Grass,Wind Turbine,1.467840119157144,0.00021021749856739956
Bare ground,Snow & Ice,1.219544294440492,0.0001746576807810892
