lulc_category_from,lulc_category_to,changed_area,changed_area_normalized
Crops,Bare ground,272.43627480346686,0.15171478052909732
Bare ground,Crops,211.21533683725113,0.1176219594683547
Shrub & Scrub,Trees,196.6017842507738,0.10948393921019625
Crops,Built Area,178.79743673029083,0.09956902359008488
Shrub & Scrub,Bare ground,134.92755695391324,0.07513868960863405
Shrub & Scrub,Crops,134.29763862595246,0.074787899608489
Crops,Shrub & Scrub,107.30131704174973,0.059754141687687584
Bare ground,Built Area,102.33361196517559,0.05698771755430292
Crops,Trees,99.72919249457243,0.055537363967309746
Trees,Shrub & Scrub,72.85435059227991,0.040571255860370484
Bare ground,Shrub & Scrub,69.93241795710058,0.03894408499706738
Shrub & Scrub,Built Area,53.07020045784901,0.029553824360966867
Built Area,Crops,27.786415372470902,0.015473746706329262
Trees,Crops,26.565629920866964,0.014793913607756701
Built Area,Bare ground,24.849533807196906,0.013838251057165341
Trees,Built Area,24.17496029381691,0.013462593400683958
Built Area,Trees,13.819607715058865,0.007695886874832922
Bare ground,Solar Panel,9.950799557490447,0.005541418344685465
Built Area,Shrub & Scrub,8.94298538665142,0.004980185058650931
Crops,Solar Panel,8.764631109980108,0.004880862822795467
Trees,Bare ground,8.522701686661195,0.004746136750106218
Bare ground,Trees,5.6556083962863255,0.0031495049153057245
Crops,Grass,2.1524202396662737,0.0011986434791142588
Grass,Crops,1.0310565463365533,0.0005741765400124634
