lulc_category_from,lulc_category_to,changed_area,changed_area_normalized
Grass,Crops,1070.8360663951084,0.2244386214239494
Crops,Grass,996.1525212788969,0.20878555142102778
Trees,Crops,420.83601546930885,0.08820384195262007
Crops,Built Area,418.6707421576882,0.08775001809263169
Crops,Trees,353.94326005985107,0.07418365877193082
Grass,Trees,245.3878223539674,0.05143131268332579
Trees,Built Area,241.33012306789172,0.05058085156934259
Built Area,Crops,185.89709394998226,0.03896253479144397
Trees,Grass,148.51578224252796,0.031127712702490932
Built Area,Trees,88.69583138306984,0.018589932433525472
Trees,Shrub & Scrub,84.69057146114602,0.017750462188236317
Grass,Built Area,81.84553515034386,0.017154165474354516
Crops,Wind Turbine,67.69222003933805,0.014187744533017976
Shrub & Scrub,Trees,51.953386679142895,0.010889011726907849
Grass,Flooded vegetation,28.356052156385687,0.0059432003223699814
Bare ground,Crops,24.858701778726832,0.005210183829900945
Crops,Solar Panel,22.927440314911262,0.004805406969884321
Trees,Flooded vegetation,22.35670989848275,0.004685786467841324
Crops,Bare ground,21.64995838867965,0.0045376570393252545
Built Area,Grass,21.395950754693573,0.004484419083496114
Flooded vegetation,Trees,20.55835351109614,0.004308865442223682
Shrub & Scrub,Grass,19.660411873675763,0.004120664101657858
Grass,Shrub & Scrub,17.344639116290395,0.0036352967690572607
Bare ground,Built Area,16.32708232999554,0.0034220250559504894
Flooded vegetation,Grass,8.276663892274286,0.0017347221412002914
Crops,Flooded vegetation,7.90478593917615,0.0016567795151060092
Crops,Shrub & Scrub,7.571992524123085,0.0015870286936334732
Built Area,Bare ground,6.703500131280656,0.001404999677723562
Bare ground,Shrub & Scrub,6.157808757855869,0.001290627157579838
Shrub & Scrub,Built Area,5.628356395034858,0.0011796582033670505
Grass,Solar Panel,4.970096104029488,0.0010416921440534845
Bare ground,Trees,4.961659034300253,0.0010399238021398041
Grass,Bare ground,4.467647512531197,0.0009363829629834917
Bare ground,Grass,3.9782626862831845,0.0008338118419727278
Shrub & Scrub,Crops,3.7321211816144593,0.0007822225635418668
Crops,Snow & Ice,3.702450245352789,0.000776003774093221
Built Area,Solar Panel,3.522454529169174,0.0007382781205872984
Grass,Wind Turbine,3.223069241045004,0.0006755293736503344
Trees,Bare ground,3.1812284622852034,0.0006667598831570163
Flooded vegetation,Shrub & Scrub,2.650730246153984,0.0005555717265074402
Trees,Solar Panel,2.4496654161075764,0.0005134301563001794
Trees,Wind Turbine,2.2739559761437707,0.00047660287179396256
Flooded vegetation,Crops,2.0856814101308867,0.000437142037992038
Built Area,Shrub & Scrub,2.069264750969067,0.0004337012383530518
Snow & Ice,Built Area,2.0339656647974107,0.00042630283397864356
Shrub & Scrub,Flooded vegetation,1.9013246028687185,0.00039850233489412715
Shrub & Scrub,Bare ground,1.8286528170313983,0.0003832709134454153
Built Area,Snow & Ice,1.6138754896089444,0.0003382553141463628
Built Area,Wind Turbine,1.2632331766535296,0.0002647635073214878
Bare ground,Wind Turbine,1.140847068256401,0.00023911236396528468
