,lulc_category_from,lulc_category_to,tfidf_score,changed_area
0,Snow & Ice,Trees,15.943416729349709,372.19462600031886
0,Shrub & Scrub,Trees,15.382631543392534,420.89905567002717
0,Snow & Ice,Crops,15.134298889557702,259.4534429222218
0,Grass,Crops,14.71569491525502,585.2823214962899
0,Grass,Trees,14.561001061946307,267.3877288264232
0,Trees,Grass,14.094603692106077,232.41976404403985
0,Snow & Ice,Grass,13.386207563069046,128.80604067701825
0,Trees,Crops,13.364280702242533,198.8356966221472
0,Crops,Grass,13.32959310367718,252.0519500996881
0,Trees,Shrub & Scrub,12.830946104434492,138.54093419507083
