"area","chipid","summed_area"
"Israel","1_12_38","20.6618666866471"
"Israel","1_5_22","12.081155501589514"
"Israel","1_2_20","11.839979737223937"
"Israel","1_4_21","10.595171085043438"
"Israel","1_5_21","10.294775537285352"
"Israel","1_2_19","9.940685898056762"
"Israel","1_11_34","9.75481999057931"
"Israel","1_0_19","9.690786350562258"
"Israel","1_11_36","9.237920762233008"
"Israel","1_11_35","8.977037414187397"
"Israel","1_1_19","8.836843093886959"
"Denmark","14_6_18","8.620995098474465"
"Israel","1_1_20","8.279995914025777"
"Israel","1_11_33","8.276011707750929"
"Denmark","12_11_8","7.5882341250471015"
"Netherlands","6_10_22","7.513425697699704"
"Israel","1_11_37","6.932884950870779"
"Denmark","14_4_14","6.842024443678666"
"Israel","1_2_21","6.822471038647016"
"Denmark","14_4_15","6.5872305065881305"
"Israel","1_1_21","6.44252186234205"
"Estonia","6_6_10","6.305676751475266"
"Israel","1_6_22","6.279237357249885"
"Israel","1_4_22","6.251511738963104"
"Denmark","14_2_14","6.058985533487237"
"Denmark","14_5_16","6.044095698946159"
"Israel","1_11_38","5.834351520686696"
"Israel","1_3_20","5.775412708670746"
"Denmark","12_12_9","5.656701865605867"
"Denmark","14_4_17","5.639267977390776"
"Denmark","14_6_17","5.457454005341662"
"Denmark","14_3_15","5.408926226835018"
"Denmark","14_5_17","5.374864373587854"
"Israel","1_10_37","5.365695437710246"
"Denmark","14_4_16","5.330198385251615"
"Denmark","12_11_9","5.1907350476905245"
"Israel","1_10_38","5.161843238349497"
"Denmark","14_3_11","5.157881436674685"
"Denmark","12_12_8","5.141508196653198"
"Denmark","14_4_18","5.127106464541116"
"Denmark","14_6_19","5.109085775324801"
"Denmark","14_3_14","5.062429627833588"
"Netherlands","6_22_13","5.029560877292472"
"Denmark","12_11_7","4.960725452414109"
"Estonia","6_21_8","4.94403422208106"
"Denmark","14_4_13","4.9306721101048465"
"Israel","1_11_32","4.929460444835803"
"Israel","1_10_34","4.9093993461708125"
"Denmark","14_5_11","4.908395275458352"
"Denmark","14_5_15","4.794984141110212"
