"area","chipid","summed_area"
"Denmark","14_3_12","13.41451163721496"
"Denmark","14_2_16","12.909555700494408"
"Denmark","14_6_9","11.339690731362566"
"Israel","1_7_25","10.797912121409176"
"Denmark","14_6_17","10.48513000242302"
"Denmark","14_4_12","10.031510187065166"
"Denmark","14_6_16","9.809801292928716"
"Denmark","14_3_15","9.395174835434347"
"Denmark","14_6_18","9.259014507949129"
"Denmark","14_6_13","9.087075675502682"
"Denmark","14_13_22","9.079726226893017"
"Denmark","12_2_5","9.019501553463268"
"Denmark","12_3_5","8.891414671068585"
"Denmark","12_12_11","8.799705894472499"
"Denmark","12_11_8","8.792287901992012"
"Denmark","12_12_9","8.750364374454293"
"Estonia","6_8_14","8.654415433960237"
"Estonia","6_11_18","8.653721292145605"
"Denmark","14_5_16","8.647051303101584"
"Denmark","12_12_10","8.564940185178347"
"Denmark","14_0_8","8.523208865871736"
"Denmark","14_4_15","8.350890361530688"
"Estonia","6_10_19","8.293074343664362"
"Denmark","14_5_11","8.227327417307354"
"Estonia","6_11_19","8.220043777590618"
"Denmark","14_8_14","8.201690855029586"
"Estonia","6_7_12","8.045439907472437"
"Netherlands","6_17_18","7.827785804403844"
"Denmark","12_7_6","7.810509619726364"
"Denmark","14_5_18","7.773678331779379"
"Netherlands","6_20_22","7.744488361629831"
"Denmark","12_11_9","7.741786996983256"
"Denmark","14_6_8","7.699833163321184"
"Estonia","6_9_19","7.696171128141609"
"Denmark","14_2_14","7.644592830112862"
"Estonia","6_10_14","7.5527030163464275"
"Denmark","14_2_15","7.533260091834192"
"Denmark","12_13_9","7.502421505769264"
"Denmark","12_13_8","7.450843879532877"
"Denmark","14_5_12","7.45041954100265"
"Denmark","12_13_7","7.449071985989147"
"Denmark","14_5_17","7.421798098816529"
"Estonia","6_10_21","7.40573540465714"
"Estonia","6_2_14","7.392443561254353"
"Estonia","6_9_13","7.388664599158028"
"Denmark","14_4_9","7.359249774806673"
"Estonia","6_8_7","7.339288530590137"
"Estonia","6_7_14","7.338861564618356"
"Denmark","12_12_8","7.33072337881866"
"Denmark","14_4_14","7.321592384052345"
