"area","chipid","summed_area"
"Israel","1_3_19","56.10611186860967"
"Israel","1_2_19","31.70571449697894"
"Israel","1_5_21","28.75237490300208"
"Israel","1_2_20","27.083301130237004"
"Israel","1_3_20","25.811577549808543"
"Israel","1_1_19","23.872413052871845"
"Israel","1_4_19","20.190753172317507"
"Israel","1_1_20","19.983421183511172"
"Israel","1_4_20","19.593542133447002"
"Israel","1_5_20","11.072309419271086"
"Israel","1_4_21","10.873353397802756"
"Israel","1_5_22","10.833296798775727"
"Israel","1_0_19","10.446773599542395"
"Israel","1_6_20","6.747782208685038"
"Israel","1_3_21","6.71225651835198"
"Israel","1_2_21","6.3734933932725335"
"Israel","1_1_21","6.162764275403133"
"Israel","1_4_22","4.871804323748707"
"Israel","1_2_18","4.040093705094881"
"Estonia","6_24_19","3.529565071669451"
"Estonia","6_5_11","3.2718075629748684"
"Israel","1_5_19","3.171867472251752"
"Estonia","6_25_19","2.8171268030361043"
"Israel","1_7_20","2.8165677049766953"
"Israel","1_11_33","2.8126077182409914"
"Israel","1_6_28","2.5582876709311115"
"Israel","1_12_33-b","2.4808992188614067"
"Israel","1_4_27","2.4470883488368305"
"Estonia","6_25_18","2.371085365888951"
"Israel","1_4_23","2.336528351569089"
"Israel","1_6_24","2.2635315924761628"
"Israel","1_7_34","2.237500841762852"
"Estonia","6_6_10","2.1472281937022344"
"Netherlands","6_10_22","2.053425789680705"
"Israel","1_4_17","2.039526768795697"
"Israel","1_0_18","1.9839963370963507"
"Estonia","6_19_20","1.8163718628830279"
"Israel","1_6_22","1.8017555525530469"
"Israel","1_3_23","1.7983784874554773"
"Israel","1_5_27","1.773245456320085"
"Israel","1_3_22","1.738102684179864"
"Israel","1_6_25","1.6887126163951918"
"Israel","1_6_27","1.6750928183849307"
"Israel","1_2_23","1.663137765942456"
"Israel","1_6_26","1.6289728216990427"
"Israel","1_7_19","1.5963655767859015"
"Israel","1_1_18","1.5747506832646674"
"Netherlands","6_10_23","1.5420789097777985"
"Israel","1_5_28","1.5295165035930762"
"Israel","1_7_36","1.4863709666530451"
