country,cluster,chipid
Denmark,2,12_1_4
Denmark,2,12_2_5
Denmark,2,12_3_5
Denmark,2,12_4_5
Denmark,2,12_7_6
Denmark,2,14_2_16
Denmark,2,14_3_12
Denmark,2,14_4_19
Denmark,2,14_6_13
Denmark,0,13_4_7
Israel,1,1_8_35
Israel,2,1_12_40
Israel,2,1_7_20
Netherlands,2,6_13_11
Netherlands,2,6_16_14
Netherlands,2,6_16_15
Netherlands,2,6_16_16
Netherlands,2,6_16_17
Netherlands,2,6_17_14
Netherlands,2,6_17_18
Netherlands,2,6_19_23
Netherlands,2,6_20_22
Netherlands,2,6_20_24
Netherlands,2,6_20_25
Netherlands,0,6_10_22
Netherlands,0,6_16_21
Netherlands,0,6_18_19
Estonia,1,6_13_9
Estonia,1,6_16_13
Estonia,1,6_19_9
Estonia,1,6_1_14-b
Estonia,1,6_22_20
Estonia,1,6_6_20
Estonia,1,6_7_18
Estonia,1,6_7_19
Estonia,1,6_7_20
Estonia,1,6_8_20
Estonia,1,6_8_21
Estonia,1,6_9_21
Estonia,3,6_14_7
Estonia,3,6_16_7
Estonia,3,6_19_21
Estonia,3,6_1_17
Estonia,3,6_20_10
Estonia,3,6_20_8
Estonia,3,6_20_9
Estonia,3,6_21_11
Estonia,3,6_21_8
Estonia,3,6_22_5
Estonia,3,6_22_6
Estonia,3,6_23_5
Estonia,0,6_24_19
Estonia,0,6_25_19
