"area","chipid","summed_area"
"Israel","1_3_16","4.490008578208723"
"Netherlands","6_23_26","3.1812199123671947"
"Netherlands","6_23_24","2.622404249607611"
"Netherlands","6_24_24","1.928620003603605"
"Netherlands","6_23_25","1.841563359699511"
"Netherlands","6_22_26","1.4475690696433925"
"Israel","1_3_22","1.0034987009274126"
"Israel","1_3_23","0.9875158657705235"
"Israel","1_3_21","0.9264961834957882"
"Israel","1_2_18","0.9007897838033633"
"Denmark","13_6_5","0.877449690327613"
"Israel","1_4_24","0.7570729940488108"
"Netherlands","6_20_20","0.7372554292221946"
"Israel","1_4_16","0.7351261397611341"
"Netherlands","6_23_23","0.694042747082832"
"Netherlands","6_24_22","0.6888523026312042"
"Netherlands","6_7_10-a","0.6841252438491623"
"Israel","1_2_19","0.6760509511878176"
"Israel","1_3_20","0.6531298298001419"
"Netherlands","5_2_2-b","0.6399509259258814"
"Netherlands","6_21_18","0.6205686235120224"
"Israel","1_2_22","0.6043551176407743"
"Netherlands","6_14_5","0.6039250326808717"
"Denmark","12_5_4-b","0.603814123080465"
"Netherlands","6_19_24","0.5942447162758371"
"Israel","1_5_25","0.593809404462008"
"Netherlands","6_16_6","0.5557867529943504"
"Denmark","14_6_10","0.5410965250279637"
"Denmark","11_1_2","0.5383803039150112"
"Israel","1_3_24","0.5203500106066498"
"Netherlands","6_9_21","0.5201423914710658"
"Israel","1_7_3","0.5188376517149301"
"Denmark","14_12_12","0.5167085972850447"
"Netherlands","6_12_12","0.5164687522958068"
"Netherlands","6_18_7","0.5161952048147372"
"Netherlands","6_22_21","0.5013095315855404"
"Denmark","10_0_1","0.47078608880958484"
"Denmark","12_6_4","0.4653305698055526"
"Netherlands","6_18_16","0.44111721613161836"
"Israel","1_4_21","0.4348838456568565"
"Netherlands","6_20_22","0.4335797352556457"
"Israel","1_4_20","0.42632113351742257"
"Estonia","6_16_13","0.4224831657740715"
"Netherlands","6_8_17","0.41852303732937607"
"Netherlands","6_20_15","0.40215753927252706"
"Israel","1_4_23","0.40111946847133234"
"Netherlands","6_11_21","0.3782686387421421"
"Netherlands","6_22_20","0.3705623886864215"
"Netherlands","6_9_22","0.3667110605556046"
"Netherlands","6_8_22","0.35538869250056315"
