"area","chipid","summed_area"
"Israel","1_3_16","4.490008578208723"
"Denmark","14_7_2","2.2795388706637323"
"Denmark","14_2_17","1.5444523860560424"
"Netherlands","6_22_26","1.4475690696433925"
"Netherlands","6_23_24","1.3115850308739072"
"Netherlands","6_24_24","1.2813079650572294"
"Netherlands","6_15_18","1.2063386682198338"
"Israel","1_3_22","1.0034987009274126"
"Israel","1_3_23","0.9875158657705235"
"Israel","1_3_21","0.9264961834957882"
"Israel","1_2_18","0.9007897838033633"
"Denmark","13_6_5","0.877449690327613"
"Netherlands","6_23_25","0.8720462528548247"
"Denmark","10_2_1","0.843945677944691"
"Netherlands","6_23_26","0.7902145548308566"
"Israel","1_4_24","0.7570729940488108"
"Israel","1_4_16","0.7351261397611341"
"Denmark","14_6_9","0.6996336838084524"
"Denmark","14_7_9","0.6916621772227973"
"Netherlands","6_24_22","0.6888523026312043"
"Israel","1_2_19","0.6760509511878176"
"Israel","1_3_20","0.6531298298001419"
"Netherlands","6_21_18","0.6205686235120222"
"Denmark","14_5_21","0.6124652513693838"
"Israel","1_2_22","0.6043551176407744"
"Netherlands","6_14_5","0.6039250326808717"
"Netherlands","6_19_24","0.5942447162758371"
"Israel","1_5_25","0.593809404462008"
"Denmark","14_0_17","0.593177094210751"
"Denmark","13_6_6","0.5810210739396784"
"Netherlands","6_23_23","0.5422625534086402"
"Denmark","14_2_9","0.5398549405108916"
"Denmark","14_6_10","0.5384099779190451"
"Denmark","11_1_2","0.5383803039150112"
"Israel","1_3_24","0.5203500106066498"
"Israel","1_7_3","0.5188376517149301"
"Denmark","12_2_5","0.5144833534979978"
"Denmark","13_8_8","0.4868917109372676"
"Denmark","14_7_1","0.48160721685180446"
"Netherlands","6_14_18","0.4743409633721335"
"Netherlands","6_18_16","0.44111721613161836"
"Israel","1_4_21","0.4348838456568565"
"Netherlands","6_20_22","0.4335797352556457"
"Israel","1_4_20","0.4263211335174226"
"Estonia","6_16_13","0.4224831657740715"
"Netherlands","6_8_17","0.41852303732937607"
"Netherlands","6_20_15","0.40215753927252706"
"Israel","1_4_23","0.40111946847133234"
"Denmark","14_7_10","0.39968286716229456"
"Denmark","14_8_23","0.38319779293570655"
