"area","chipid","summed_area"
"Israel","1_8_37","8.657035358665985"
"Israel","1_9_38","8.623993405718041"
"Israel","1_6_30","7.969209888686409"
"Netherlands","6_12_17","7.95167243115342"
"Israel","1_5_27","7.884402337146586"
"Israel","1_6_31","7.4240628165564155"
"Estonia","6_8_20","6.579708568985828"
"Israel","1_6_24","6.513484887279628"
"Israel","1_5_29","6.505599428108503"
"Israel","1_9_36","6.454960276749635"
"Israel","1_7_33","6.393318058489889"
"Israel","1_4_23","6.214901973829918"
"Israel","1_4_25","6.156335673662353"
"Israel","1_6_28","6.067960536127922"
"Israel","1_8_38","5.922392957229927"
"Israel","1_6_27","5.802156916228987"
"Israel","1_5_19","5.773067086171158"
"Israel","1_10_36","5.631373326334038"
"Israel","1_6_29","5.597786760746538"
"Israel","1_8_36","5.4799765054901854"
"Israel","1_3_24","5.437122331990114"
"Estonia","6_8_21","5.310926709120897"
"Netherlands","6_18_7","5.224949376348872"
"Estonia","6_19_9","5.2016724294404755"
"Israel","1_9_35","5.132316483259129"
"Denmark","14_9_10","5.11626417651845"
"Israel","1_10_37","5.060458011300701"
"Israel","1_5_26","5.016054985033173"
"Israel","1_4_27","4.967836468932654"
"Netherlands","6_8_8","4.946904523152679"
"Netherlands","6_5_13","4.913778381100918"
"Israel","1_7_35","4.910921430169588"
"Israel","1_6_33","4.895503392959766"
"Netherlands","6_17_16","4.8652676960969625"
"Netherlands","6_14_14","4.847620254620904"
"Netherlands","6_21_17","4.821734197850753"
"Netherlands","6_8_14","4.81026828321683"
"Israel","1_5_28","4.8005120443493965"
"Israel","1_4_26","4.767235975817117"
"Israel","1_6_26","4.735106374989262"
"Netherlands","6_4_13","4.697413151727805"
"Netherlands","6_23_16","4.695323712498643"
"Estonia","6_6_20","4.68048733735348"
"Netherlands","6_13_7","4.643117626006592"
"Netherlands","6_8_17","4.634408905427733"
"Netherlands","6_16_12","4.616291753323424"
"Israel","1_10_38","4.510634835380504"
"Netherlands","6_7_13","4.507688102505594"
"Israel","1_4_21","4.487208089844509"
"Netherlands","6_14_9","4.400009364863173"
