,lulc_category_from,lulc_category_to,tfidf_score,changed_area
0,Crops,Bare ground,14.602932877348895,241.029293036423
0,Bare ground,Crops,13.795634045874017,165.2636754144637
0,Shrub & Scrub,Bare ground,13.036925893868561,120.39716408908937
0,Crops,Built Area,12.95180235640828,141.71565336039166
0,Shrub & Scrub,Trees,12.802649332979547,152.77404897821512
0,Shrub & Scrub,Crops,12.612094687543113,103.54922358753693
0,Crops,Shrub & Scrub,12.084471691935994,82.5247901574806
0,Bare ground,Built Area,11.928538081689874,76.85877916731683
0,Crops,Trees,11.406291021028508,80.16247651079387
0,Bare ground,Shrub & Scrub,11.107712674142613,56.25083507811994
